,0,1,2,5,3,4,6,8,7,9,10,11,12,13,14
0,57.59,74.66,-0.74,5.67,8.31,0.89,71.4,5645.95,7.87,34.68,83.22,4527.01,6.41,1445.41,20505177.42
1,59.67,69.45,-1.71,3.89,11.88,-4.84,140.7,4964.26,5.48,28.15,79.1,4380.67,28.98,1281.36,19201083.89
2,52.33,57.25,1.77,4.81,10.61,3.21,116.22,3389.68,8.12,32.03,73.61,3781.25,18.01,1420.58,14304960.43
3,60.92,64.5,-0.13,5.59,6.73,-2.2,45.52,4202.46,7.68,35.55,79.61,4984.0,15.49,1444.55,24848982.44
4,60.44,71.18,-2.27,4.21,15.24,-4.33,239.07,5299.03,7.92,33.68,76.44,4811.29,28.25,1916.44,23159906.96
5,48.58,66.88,-0.64,3.94,8.47,-1.29,68.8,4542.75,5.97,26.46,72.56,3062.25,12.65,950.36,9386666.54
6,56.48,73.79,-0.14,5.68,6.92,-1.15,47.19,5491.51,8.08,34.37,87.66,4376.95,11.1,1363.82,19168820.47
7,59.96,63.78,-0.91,5.96,9.29,-3.87,85.79,4155.36,9.52,40.85,73.0,5281.17,24.77,1993.37,27899762.81
8,58.15,52.55,2.3,3.56,10.9,4.38,124.44,2882.73,2.05,21.47,68.83,3859.27,27.16,887.26,14900518.74
9,50.19,66.24,-0.39,2.57,7.12,-0.62,49.44,4441.7,4.74,26.08,79.39,3206.31,11.16,863.73,10289478.24
10,66.33,60.42,-0.55,3.51,8.29,-0.31,66.18,3720.85,8.35,36.04,78.3,5701.92,8.02,1533.41,32519392.62
11,60.78,58.95,-1.1,2.82,9.17,-2.41,83.04,3554.21,6.55,28.66,70.74,4525.67,16.36,1121.84,20489065.93
12,67.46,62.02,-0.7,6.05,8.29,-1.6,67.22,3914.24,8.39,34.19,75.54,5727.09,10.71,1411.59,32807567.33
13,63.02,65.44,-1.42,4.12,12.87,-3.46,166.64,4450.08,10.43,38.33,78.73,5456.84,21.36,2031.55,29786505.94
