,0,1,4,2,3,5,7,6,8,9,10
0,53.68,73.59,62.26,4.48,1.02,20.09,0.81,257.68,5425.56,703.65,66612.97
1,49.44,69.6,57.27,4.0,-1.45,17.99,1.91,243.1,4861.33,664.02,59295.82
2,78.46,73.49,61.06,4.44,-2.12,19.06,2.14,308.19,5414.54,808.14,95191.27
3,66.26,70.58,52.8,3.77,-0.12,14.25,0.85,278.85,4991.68,730.46,77951.86
4,68.57,73.84,50.15,3.08,0.15,20.59,3.45,290.65,5470.41,777.73,84666.13
5,45.46,71.95,54.42,4.32,-0.36,20.39,-1.14,239.67,5189.69,661.0,57638.46
6,70.45,70.1,58.95,5.6,0.07,19.36,2.24,282.81,4927.71,748.72,80178.38
7,70.59,72.0,55.12,2.24,2.06,22.26,0.36,293.74,5193.21,776.92,86478.4
8,75.79,74.54,47.31,4.19,-0.46,23.62,0.11,306.64,5567.28,809.4,94211.93
9,63.77,77.25,50.66,3.11,-1.14,20.77,-2.01,286.67,5977.94,768.64,82376.81
10,59.93,74.35,55.53,4.15,-0.23,17.48,-0.27,273.25,5541.2,729.51,74864.81
11,71.26,69.9,48.48,2.93,1.38,23.13,2.5,287.33,4901.01,766.89,82741.0
12,57.52,71.44,52.9,5.46,-0.65,17.75,-0.85,263.18,5111.2,704.46,69455.46
13,52.57,75.61,59.55,3.5,-0.88,22.03,2.25,259.57,5733.51,718.16,67584.42
14,77.77,70.05,49.06,3.51,-0.54,17.62,0.18,297.78,4917.67,767.62,88855.0
15,80.53,71.01,54.45,5.22,0.98,23.38,1.77,306.71,5055.33,806.46,94271.76
16,72.93,71.05,52.79,5.59,-1.52,16.41,-1.89,291.66,5053.1,755.93,85250.64
17,65.63,72.93,58.91,4.08,-0.91,20.64,-3.08,278.89,5325.0,739.63,77989.91
18,58.91,70.94,52.4,2.18,2.36,14.55,1.29,265.72,5049.73,706.47,70801.49
19,70.23,69.98,46.04,5.23,-0.26,21.19,-1.15,284.72,4907.2,749.73,81247.36
20,69.9,76.32,58.08,2.52,0.42,22.62,-0.26,295.91,5838.22,789.67,87764.27
21,69.54,69.62,39.48,3.87,-1.47,17.04,1.06,280.64,4852.15,739.08,78925.22
22,67.82,76.08,44.83,4.96,-0.96,15.19,-1.19,288.76,5792.73,757.75,83563.38
23,59.36,71.96,55.11,4.17,-1.53,21.15,-0.42,269.13,5192.07,725.34,72629.58
24,60.06,75.24,49.18,2.74,3.19,20.78,4.02,276.9,5677.14,754.21,76866.21
25,50.18,72.11,51.62,5.53,-1.02,20.17,-0.12,248.07,5210.84,679.94,61734.71
26,68.62,72.11,49.36,4.6,-0.96,19.27,4.5,288.11,5219.51,770.54,83190.87
27,75.1,76.12,39.4,3.15,-0.88,14.27,2.81,302.94,5809.73,792.58,91940.99
28,56.35,67.62,46.77,5.09,-2.5,18.28,-0.2,252.26,4581.16,675.5,63809.14
29,74.7,74.96,68.17,5.22,0.8,20.53,0.73,308.41,5636.44,810.89,95344.71
30,69.81,74.09,50.32,3.11,-0.97,19.03,1.39,289.7,5499.9,769.94,84115.5
31,72.5,71.53,65.4,4.39,-0.06,23.05,-0.98,291.62,5130.35,772.32,85262.1
32,48.45,73.31,62.89,3.41,-2.62,17.49,-0.65,244.82,5385.55,672.66,60153.71
33,73.4,79.57,46.42,4.17,-1.02,17.12,-2.43,307.33,6339.04,804.98,94643.0
34,69.71,71.66,51.26,3.62,0.52,20.68,0.34,286.55,5147.43,758.23,82301.12
35,63.2,78.49,54.63,5.46,-0.31,16.21,2.38,291.03,6179.43,776.81,84900.17
36,57.38,80.27,56.39,3.75,-1.44,14.88,-0.74,279.47,6453.34,748.86,78313.1
37,59.63,76.17,53.92,4.67,-1.56,20.35,1.41,278.53,5816.82,754.81,77780.29
38,56.4,77.53,52.88,3.32,-0.38,21.23,-0.6,272.4,6022.57,743.17,74405.3
39,70.47,70.67,61.61,2.93,-0.14,21.26,-2.11,283.03,5005.93,748.0,80310.88
40,73.81,75.03,54.27,5.19,-2.4,19.42,2.26,304.33,5649.55,802.75,92821.72
41,72.61,80.31,63.38,4.5,0.65,21.89,0.68,310.95,6465.16,829.78,96908.66
42,72.53,74.35,59.5,4.99,-0.41,19.27,3.13,299.3,5544.18,792.51,89787.24
43,61.23,69.72,53.08,4.37,1.33,21.42,0.99,267.98,4876.08,722.11,72002.61
44,76.88,68.96,48.45,3.87,-1.69,18.28,-0.38,291.5,4769.49,754.32,85155.35
45,54.62,76.78,63.98,5.85,-1.08,19.52,3.63,265.71,5915.39,728.67,70817.26
46,67.89,74.34,49.92,5.51,-0.01,18.99,1.99,288.73,5541.19,768.84,83559.83
47,48.37,77.91,55.01,4.3,0.56,16.56,1.65,256.06,6086.18,704.53,65771.43
48,64.02,71.55,50.61,5.23,-1.78,14.83,-1.38,272.44,5125.17,716.62,74410.46
49,59.5,70.45,47.42,4.03,-0.09,15.04,2.71,261.62,4979.0,700.01,68632.9
50,64.25,71.02,56.81,3.12,-0.23,19.83,-0.25,273.29,5058.19,730.99,74883.93
51,63.51,69.58,54.01,2.91,-0.35,17.25,1.13,268.21,4853.26,713.4,72133.41
52,64.0,73.35,60.64,5.76,0.02,19.91,-0.91,279.49,5392.41,744.78,78330.41
53,68.23,67.4,57.29,4.34,-1.95,15.79,-0.52,272.85,4554.15,712.76,74641.32
54,68.15,75.3,56.2,3.94,0.21,20.29,-0.44,288.61,5678.61,772.44,83503.68
55,69.56,67.9,44.63,4.06,-0.52,18.25,4.34,280.69,4627.44,742.3,78963.04
56,56.21,68.25,60.49,5.08,-0.41,17.5,3.44,249.07,4676.13,678.56,62233.03
57,69.77,74.96,56.68,5.34,-1.0,19.1,3.0,292.99,5637.68,779.36,86054.16
58,65.61,75.46,50.47,5.53,-0.93,17.98,3.77,285.02,5711.87,761.33,81426.51
59,76.56,73.33,49.21,3.98,1.35,24.01,0.49,302.49,5388.05,797.59,91687.0
60,74.18,71.21,58.22,3.37,0.21,18.09,1.47,292.11,5088.2,766.82,85535.05
61,56.66,75.13,60.22,3.49,0.02,21.41,4.22,262.6,5663.96,729.0,69169.1
62,59.54,73.55,44.8,4.92,-0.86,19.59,-0.26,270.72,5424.16,727.05,73465.31
63,62.65,73.06,41.05,3.73,-1.42,14.57,-0.08,275.69,5344.31,726.76,76172.07
64,66.92,72.17,46.2,4.47,-1.61,19.63,1.08,281.12,5220.34,750.82,79211.45
65,66.83,68.22,50.2,4.55,-2.64,17.66,1.97,276.33,4671.18,731.45,76539.14
66,70.36,70.9,50.18,4.58,-0.55,17.96,-0.11,287.89,5035.07,749.53,83070.41
67,63.83,67.39,53.92,6.25,0.21,18.26,1.54,263.98,4552.93,699.27,69879.53
68,68.95,72.02,54.03,5.29,-2.09,17.9,-0.73,287.52,5196.03,753.66,82860.36
69,65.82,70.89,61.37,3.12,-0.79,20.68,3.57,273.21,5044.78,736.31,74855.87
70,56.63,69.95,49.74,3.51,-2.03,18.21,1.06,260.32,4902.77,702.31,67955.97
71,58.81,77.16,49.2,3.05,-1.7,16.49,3.93,275.34,5971.86,745.61,76002.13
72,66.69,73.3,60.94,3.71,-0.08,21.38,-1.36,285.06,5383.37,758.88,81469.37
73,46.57,79.65,53.26,2.48,1.04,21.75,3.09,256.53,6360.96,722.3,66014.03
74,55.78,76.07,53.41,4.14,-1.92,19.39,3.86,272.58,5804.9,744.38,74497.68
75,65.79,76.74,60.37,4.44,-0.62,18.27,0.28,287.09,5906.12,764.24,82636.7
76,56.47,69.73,53.31,5.39,-2.19,18.62,2.34,256.94,4879.95,693.27,66213.08
