,0,1,3,2,5,4,6
0,100.3,87.98,45.57,8.53,4.5,17.57,1.1
1,93.35,99.9,51.84,10.18,6.41,20.55,2.55
2,102.49,114.06,62.29,11.8,4.55,25.45,1.5
3,80.72,109.91,56.15,13.19,3.83,27.4,1.56
4,101.25,101.72,58.23,10.38,4.2,21.83,7.34
5,98.93,98.2,69.1,10.03,4.47,19.89,0.95
6,99.41,91.8,42.95,8.89,5.24,18.19,0.14
7,87.28,96.93,53.9,9.82,3.33,18.2,-0.55
8,84.47,85.85,49.23,10.45,4.14,20.07,1.05
9,93.37,106.84,56.63,9.84,4.39,18.72,2.39
10,97.19,109.84,52.57,10.87,4.65,21.27,4.92
11,101.25,111.69,46.5,9.57,3.96,17.63,3.28
12,107.31,91.28,62.94,8.76,4.0,17.51,3.4
13,96.32,94.51,69.44,9.63,5.4,21.83,5.26
14,92.7,104.97,49.66,11.38,5.02,21.84,2.17
15,91.83,106.45,74.67,13.3,5.22,27.28,1.61
16,95.81,89.38,68.26,8.21,4.27,15.99,3.11
17,88.81,112.15,52.21,9.62,5.5,18.8,4.59
18,95.74,98.32,60.53,11.82,5.67,24.27,2.3
19,108.83,98.69,61.09,10.62,3.64,22.48,2.87
20,92.29,83.21,62.86,7.45,4.25,15.75,1.41
21,103.1,94.0,59.51,10.56,4.46,19.99,2.16
22,97.02,115.13,61.66,10.32,5.11,20.99,1.98
23,90.89,112.03,37.38,9.86,4.45,18.57,2.71
24,85.93,107.89,60.89,9.05,6.55,17.43,-1.18
25,98.62,102.79,45.56,11.02,5.48,21.72,5.69
26,96.84,110.13,46.06,11.95,6.64,26.04,0.6
27,98.89,98.8,62.12,9.26,4.99,21.06,2.54
28,91.59,87.52,58.46,8.73,3.68,18.22,0.76
29,100.06,103.5,42.15,11.66,4.15,22.02,-0.51
30,109.39,98.7,41.03,8.79,5.65,18.03,2.3
31,101.76,99.41,55.97,10.89,5.01,21.14,2.85
32,91.82,103.34,61.18,10.6,5.4,21.06,-0.2
33,89.62,93.23,52.93,9.37,5.21,19.81,2.31
34,96.01,107.81,55.21,8.22,4.37,15.81,3.79
35,102.08,88.99,58.42,10.39,4.48,19.54,3.76
36,108.1,91.33,42.98,9.5,4.31,17.04,4.26
37,92.32,101.58,56.04,9.44,4.22,17.86,0.24
38,97.82,108.35,41.69,12.07,4.03,23.93,0.79
39,98.94,99.71,63.92,11.39,4.47,22.73,3.02
40,101.8,104.7,54.17,8.76,4.86,16.95,4.24
41,108.47,103.94,56.71,10.37,5.21,20.79,8.7
42,81.32,85.36,64.87,10.94,5.68,21.29,3.71
43,94.41,106.65,44.3,10.08,5.82,20.69,5.74
44,103.49,108.97,48.34,11.62,4.85,25.19,2.56
45,91.06,102.38,49.8,10.27,6.32,20.57,0.18
46,91.79,96.39,75.3,9.83,4.66,19.68,2.47
47,86.79,102.05,67.78,9.62,3.67,18.87,-1.04
48,91.31,111.19,68.21,11.27,6.19,23.55,1.11
49,88.71,88.43,56.71,9.88,3.67,19.72,3.95
50,94.34,105.08,60.51,10.39,5.4,20.34,2.77
51,92.52,89.09,59.69,9.32,4.29,20.56,3.99
52,89.13,96.27,40.68,8.39,3.98,15.95,5.59
53,101.65,112.2,44.76,10.53,4.51,19.41,2.55
54,108.19,93.19,62.71,8.67,3.41,15.3,2.13
55,97.34,103.3,64.53,10.16,5.53,20.92,2.43
56,84.93,99.98,63.1,9.24,6.08,19.15,1.36
57,107.69,109.96,65.65,11.22,6.6,21.6,5.29
58,107.39,105.15,63.15,10.58,5.04,21.68,4.51
59,94.38,95.72,63.29,7.61,5.41,14.98,1.0
60,100.11,102.93,66.55,11.28,5.15,22.46,5.35
61,92.7,99.87,44.71,10.95,4.35,21.83,3.63
62,96.19,92.26,55.08,9.49,4.83,18.68,3.25
63,90.98,104.86,49.25,8.48,4.55,17.92,3.51
64,103.13,99.72,65.62,9.91,5.07,18.61,3.08
65,99.89,94.1,50.94,10.1,4.56,18.71,5.71
66,86.35,104.3,60.02,9.79,7.24,19.15,0.95
67,90.4,79.92,50.94,10.31,3.67,18.66,4.25
68,99.38,103.59,57.01,7.71,4.87,16.9,0.89
69,112.46,94.2,71.67,9.59,4.99,18.32,5.51
70,100.82,111.73,48.62,10.44,3.93,20.7,2.56
71,98.68,95.4,34.42,9.48,5.27,19.36,2.24
72,96.74,83.52,52.34,10.25,5.42,19.73,5.37
73,94.16,103.18,79.49,9.31,5.14,18.01,1.2
74,87.64,108.46,49.73,10.49,4.0,20.36,1.78
75,98.68,95.49,63.77,9.69,4.6,19.81,1.51
76,99.3,96.35,83.14,8.86,5.33,18.15,4.94
77,100.95,95.8,79.35,10.02,4.34,21.08,3.39
78,98.59,85.99,55.01,6.61,2.54,13.04,0.94
79,84.62,98.45,38.36,8.71,4.73,17.4,4.05
80,85.34,108.7,69.24,10.43,5.19,20.22,0.09
81,98.36,93.58,57.29,9.74,4.6,20.43,5.82
82,108.37,94.45,57.47,11.33,5.73,21.03,0.44
83,99.51,92.46,50.13,9.81,3.36,20.53,2.82
84,98.58,103.81,37.5,11.24,4.9,22.29,1.16
85,99.09,89.54,68.58,9.48,4.38,19.58,-0.78
86,97.42,88.57,51.21,8.63,4.5,16.41,4.45
87,109.61,87.56,55.55,9.26,2.6,20.8,6.52
88,100.41,95.1,60.02,9.91,7.52,19.35,3.85
89,101.27,96.13,73.24,9.36,4.1,18.31,3.5
90,114.23,98.44,60.66,9.01,2.85,17.62,0.27
91,107.07,97.07,59.93,9.15,3.92,19.54,0.46
92,85.31,100.56,62.75,11.96,3.17,25.57,6.03
93,106.38,97.67,69.09,10.37,7.04,20.92,3.13
94,97.79,97.36,58.94,10.34,4.06,21.47,2.79
95,94.77,101.97,61.41,10.11,4.54,20.07,4.83
96,89.24,103.14,67.25,11.34,5.24,21.78,3.01
97,96.81,87.31,53.46,9.22,5.78,18.79,0.19
98,77.32,97.64,62.56,9.54,5.3,20.7,4.85
99,104.31,87.49,56.33,9.56,4.33,19.41,1.27
100,85.27,92.0,64.46,8.52,4.99,17.85,5.15
101,91.23,73.43,59.49,9.12,4.22,18.72,1.43
102,104.59,98.45,56.7,9.05,4.71,17.58,3.75
103,95.57,106.33,63.31,12.2,5.68,24.01,3.28
104,81.18,106.35,55.44,10.37,6.67,22.05,0.75
105,93.72,97.82,50.35,9.38,3.73,18.39,5.61
106,90.09,87.96,53.66,8.04,4.46,15.8,-1.2
107,83.19,84.72,69.74,8.56,4.31,17.06,1.23
108,94.66,89.61,41.59,8.4,4.35,16.91,4.87
109,104.39,87.82,60.7,9.39,5.6,18.51,-2.49
110,87.98,95.36,66.47,8.38,4.2,17.86,1.33
111,110.04,102.63,64.28,8.88,2.67,18.1,0.93
112,97.46,110.97,61.75,11.53,4.55,23.38,2.52
113,100.64,109.78,55.05,11.52,5.01,22.45,4.0
114,98.37,91.59,50.85,10.52,3.53,19.73,-2.39
115,88.72,102.51,61.17,11.96,2.18,24.36,4.6
116,93.81,94.46,50.83,8.54,3.52,18.21,3.28
117,94.5,85.65,67.49,9.18,4.63,15.92,0.47
118,111.18,104.99,57.45,9.7,5.47,18.88,4.5
119,106.89,91.43,47.71,9.8,5.95,18.85,3.43
120,97.6,84.15,65.8,10.24,4.89,20.87,3.75
121,95.43,97.17,46.15,9.54,4.59,19.51,4.55
122,100.42,95.32,64.5,8.31,4.38,17.13,1.27
123,82.68,97.88,70.61,10.81,3.64,21.42,2.92
124,97.53,108.69,61.53,11.18,4.11,21.87,2.27
125,94.68,101.17,66.78,10.91,5.33,22.2,2.39
126,90.83,106.82,55.72,11.24,5.12,21.88,4.09
127,85.54,87.22,76.31,9.01,4.43,19.18,2.44
128,91.23,98.95,60.82,10.65,5.44,21.13,0.76
129,107.58,93.9,39.73,9.58,4.53,19.8,5.24
130,89.68,98.06,41.7,9.17,4.54,21.21,4.36
131,81.84,90.99,68.91,8.1,4.56,16.1,3.42
132,100.04,107.83,59.04,11.41,3.4,24.66,3.52
133,92.26,109.58,56.63,11.27,3.72,22.22,4.22
134,96.09,98.17,65.38,10.23,4.38,20.23,5.21
135,105.2,100.8,45.82,10.93,3.62,21.8,2.55
136,90.96,101.03,71.21,10.5,3.85,20.14,1.37
137,92.94,104.63,49.36,10.73,6.12,23.66,4.83
138,90.38,99.97,66.45,11.17,4.85,22.38,3.91
139,95.95,91.41,61.77,9.17,7.0,16.26,5.76
140,89.64,105.25,40.07,9.62,4.7,18.91,3.83
141,92.91,114.54,68.58,12.41,4.24,26.34,2.69
142,94.81,107.56,62.83,10.62,5.31,21.56,2.29
143,98.01,104.6,47.09,9.87,5.54,20.87,1.71
144,96.71,105.02,57.54,10.98,4.13,21.98,2.56
145,97.97,99.06,60.91,10.35,3.26,21.18,1.63
146,95.71,106.32,54.52,9.15,3.67,17.21,1.02
147,114.49,89.47,54.99,8.93,5.04,17.86,0.99
148,109.64,94.51,58.75,11.83,6.1,23.57,7.87
149,99.46,93.59,57.79,7.07,5.41,12.98,1.49
150,98.96,115.4,55.35,9.04,4.93,18.38,2.36
151,89.12,106.95,48.38,10.07,5.3,20.23,2.69
152,93.87,100.36,71.89,8.61,4.28,16.48,-1.22
153,99.49,91.38,58.32,10.5,4.63,19.31,4.4
154,87.92,97.87,40.38,9.14,4.88,19.16,3.27
155,96.56,89.53,66.06,10.28,4.63,20.06,3.24
156,86.57,102.3,52.43,10.78,5.09,21.41,3.86
157,98.52,102.79,43.74,10.39,3.55,21.15,1.86
158,101.45,87.58,62.97,8.9,2.72,18.64,3.42
159,90.31,96.77,56.24,12.31,3.92,23.7,1.94
160,98.79,89.76,58.5,9.31,4.53,19.43,2.23
161,110.81,99.11,48.55,10.55,5.75,21.35,3.16
162,92.78,94.45,62.44,11.02,6.39,22.83,2.17
163,92.88,99.88,52.74,9.3,6.05,18.9,0.27
164,89.04,106.5,58.32,9.68,4.85,19.71,8.22
165,96.09,107.51,60.1,8.82,3.74,16.89,4.48
166,92.92,112.82,65.16,10.56,5.29,20.45,-0.56
167,90.11,93.54,56.48,10.5,3.56,20.93,3.9
168,99.05,107.15,61.54,10.56,3.41,22.55,1.63
169,88.65,97.62,63.27,9.48,4.93,18.91,7.1
170,85.96,101.53,65.68,10.32,5.37,21.69,5.11
171,98.19,103.39,57.59,10.26,4.93,20.79,2.59
172,93.04,106.52,48.06,9.69,3.9,18.91,0.51
173,93.47,101.98,56.79,10.35,6.08,20.32,4.27
174,98.46,97.26,64.52,8.62,4.57,18.54,2.95
