,0,2,1,3,4,5,6,7,8,9,11,12,10
0,88.25,96.62,176.69,7788.23,15768.24,363.01,248637292.85,131775.74,24.75,17364853916.69,746.49,9.84,740.95
1,85.22,97.82,170.05,7260.62,14714.97,350.99,216530327.66,123197.04,13.72,15177519128.14,720.44,5.9,716.65
2,94.95,96.57,188.8,9014.52,18223.83,385.77,332108092.31,148822.11,19.71,22148030792.02,788.85,10.53,787.21
3,97.81,97.61,195.52,9568.7,19332.94,399.37,373762420.24,159499.96,21.78,25440245580.93,819.86,9.29,815.41
4,87.36,97.36,175.32,7630.28,15454.95,359.86,238855356.39,129509.13,20.22,16772623406.47,741.63,8.46,731.93
5,83.73,97.41,166.92,7010.03,14212.99,342.22,202009065.2,117122.77,21.94,13717751633.6,705.38,7.87,698.48
6,90.82,97.02,182.05,8248.26,16691.99,371.75,278622679.86,138205.08,20.11,19100652233.87,761.06,6.88,759.02
7,96.34,96.23,192.08,9280.87,18754.78,394.74,351741931.59,155826.7,18.31,24281969757.24,812.63,9.52,801.13
8,96.64,97.8,193.67,9338.01,18869.92,395.29,356073937.76,156261.47,19.68,24417655916.27,810.33,10.83,802.4
9,93.43,97.18,187.28,8727.74,17650.13,387.06,311527280.28,149819.49,14.34,22445888257.6,793.13,13.65,788.15
10,92.96,95.85,186.58,8639.51,17471.98,383.56,305270188.14,147125.73,19.77,21645990118.29,791.68,13.99,781.88
11,101.4,97.81,202.02,10286.66,20766.72,416.61,431256795.49,173569.3,16.9,30126309839.65,855.24,10.9,841.88
12,96.35,99.13,191.2,9284.48,18766.57,390.05,352184265.14,152145.69,15.82,23148319683.44,800.06,12.79,799.48
13,92.82,96.89,186.04,8620.13,17434.15,382.09,303949657.89,145999.0,15.59,21315717598.24,781.78,9.08,779.22
14,92.34,98.01,184.54,8528.15,17251.38,381.49,297610023.62,145537.55,17.56,21181188763.53,782.35,9.29,771.75
15,96.93,97.12,193.05,9395.92,18985.95,394.7,360466332.28,155788.18,24.86,24269967641.19,812.2,9.31,806.21
16,98.49,95.19,197.72,9700.14,19589.85,406.48,383762358.14,165230.72,17.17,27301199328.4,836.66,8.53,823.39
17,92.25,97.16,184.04,8509.84,17215.71,377.06,296380732.41,142183.77,21.36,20216233524.35,772.69,9.89,770.97
18,91.64,95.71,184.59,8397.9,16986.39,378.22,288537501.27,143055.27,10.66,20464819998.69,776.48,7.3,771.7
19,91.26,98.49,182.75,8331.93,16861.06,374.13,284295206.51,139976.23,14.03,19593353406.46,765.25,9.62,765.01
20,92.23,97.41,184.98,8508.17,17212.38,379.82,296266123.03,144268.49,16.33,20813406837.46,778.22,10.22,771.55
21,92.38,96.95,185.59,8534.61,17264.22,379.89,298053159.47,144317.71,16.91,20827609787.67,778.16,9.35,776.61
22,93.06,96.9,185.09,8660.81,17516.23,380.21,306818245.67,144567.53,13.85,20899778921.56,778.12,9.95,778.13
23,81.29,95.17,161.68,6605.97,13402.72,330.1,179632811.84,108973.05,18.27,11875135686.23,681.95,12.63,678.83
24,97.77,96.9,196.42,9559.44,19312.66,403.52,372978791.34,162837.12,17.48,26515938060.36,831.32,5.54,814.16
25,94.22,95.89,188.51,8879.47,17948.83,385.84,322160574.47,148875.06,20.72,22163791713.71,787.85,12.29,785.06
26,96.36,95.04,193.25,9281.77,18753.72,394.46,351702044.8,155606.04,15.11,24213249309.97,809.99,10.08,807.21
27,93.67,95.63,186.5,8771.95,17736.35,381.06,314578224.14,145213.95,19.36,21087100039.57,779.05,14.89,778.72
28,97.54,97.81,194.11,9513.0,19222.82,398.85,369516769.26,159084.3,17.97,25307824823.34,819.08,7.86,810.76
29,90.07,97.44,179.95,8109.43,16414.06,368.02,269421288.67,135443.27,17.37,18344888461.91,758.59,5.92,749.59
30,97.74,96.42,195.97,9555.92,19304.51,400.16,372664184.23,160131.07,15.54,25641967924.52,817.87,8.87,816.18
31,97.76,96.6,195.57,9558.47,19310.79,401.71,372906555.71,161373.09,17.51,26041284530.83,821.87,10.93,818.2
32,87.71,97.59,175.95,7692.65,15583.24,361.61,242837481.64,130764.92,20.73,17099473473.51,742.26,12.1,737.33
33,91.2,97.31,183.01,8321.78,16841.28,373.84,283628589.43,139758.63,8.4,19532484370.53,765.15,6.11,761.86
34,92.52,95.74,186.51,8559.22,17309.7,385.36,299625652.55,148504.79,15.34,22053681750.31,790.43,9.33,781.7
35,93.86,97.32,188.82,8811.39,17817.01,389.1,317445947.69,151400.63,24.91,22922161160.19,793.16,8.7,790.59
36,93.82,98.29,188.89,8804.43,17804.27,389.18,316992147.24,151464.34,18.96,22941456752.65,801.85,9.7,792.89
37,91.15,97.09,183.2,8310.27,16816.91,373.64,282808330.98,139606.47,15.07,19489974864.71,766.26,10.21,763.14
38,99.75,96.17,199.99,9947.64,20087.99,412.59,403527232.65,170235.07,21.8,28979988479.35,846.86,11.59,838.62
39,95.23,95.08,190.55,9067.55,18324.8,389.81,335798372.75,151956.79,11.77,23090876077.31,799.31,7.52,793.97
40,88.58,97.44,174.71,7847.44,15887.84,357.63,252423365.1,127907.95,18.83,16360452067.9,731.53,9.95,729.03
41,93.23,97.75,185.08,8693.12,17581.28,382.41,309101299.34,146247.66,15.03,21388386521.06,784.66,13.25,772.98
