,0,1,2,3,4
0,102.82,79.45,94.27,204.9,41985.71
1,113.55,74.55,90.72,226.95,51509.65
2,90.66,72.88,71.09,182.08,33163.06
3,100.68,77.92,88.61,201.7,40686.48
4,92.47,73.2,74.77,185.87,34554.38
5,101.82,78.82,79.94,203.62,41464.27
6,95.34,74.71,89.65,191.96,36854.57
7,99.07,66.79,86.02,198.25,39308.49
8,94.93,68.19,84.24,190.44,36271.3
9,96.22,73.34,92.46,193.51,37452.18
10,96.14,79.25,91.52,190.81,36411.94
11,92.03,74.0,79.73,183.44,33653.67
12,108.57,77.99,108.0,217.64,47369.27
13,113.04,75.41,82.9,226.86,51466.68
14,93.01,69.49,89.91,186.22,34678.71
15,90.34,75.87,81.7,181.47,32933.59
16,97.67,77.52,90.17,192.99,37252.46
17,81.89,67.37,90.46,162.7,26476.08
18,113.28,78.0,97.87,225.87,51020.29
19,84.75,75.47,96.12,169.57,28762.13
20,99.85,67.19,95.22,199.54,39822.53
21,100.04,74.73,83.14,200.66,40265.41
22,98.64,64.5,85.9,200.17,40073.27
23,86.85,72.95,78.64,174.34,30397.89
24,95.82,79.4,98.38,191.35,36618.22
25,95.9,79.04,90.98,191.45,36657.53
26,99.71,72.78,90.58,199.26,39710.98
27,87.19,76.09,86.97,174.6,30490.94
28,102.45,80.0,94.78,205.0,42027.38
29,73.43,82.58,70.15,146.3,21409.05
30,105.79,80.71,87.13,210.6,44354.59
31,100.74,74.92,87.81,202.41,40972.58
32,92.59,72.46,90.51,184.67,34107.16
33,87.06,75.9,91.37,172.43,29736.53
34,92.4,66.5,105.84,185.37,34364.96
35,82.25,78.82,79.15,166.72,27798.01
36,94.3,74.72,79.52,189.15,35780.7
37,98.19,79.16,101.21,196.51,38623.52
38,98.01,81.66,81.31,196.07,38449.02
39,97.95,74.48,92.21,196.97,38799.67
40,97.79,74.05,82.15,197.0,38813.05
41,102.06,76.12,92.11,204.5,41823.12
42,90.76,75.25,82.52,180.88,32722.92
43,80.81,76.1,72.72,162.81,26511.17
44,96.23,72.03,81.59,192.96,37234.63
