,0,3,1,2,4,5,6,7,8
0,69.58,97.0,138.59,277.05,2.24,30.56,9427.2,7.75,13.57
1,71.93,83.77,143.09,285.69,0.05,27.33,7033.8,0.26,12.52
2,70.59,89.89,141.03,282.78,0.18,28.11,8092.88,2.26,14.56
3,69.78,87.26,139.65,279.18,-2.62,27.74,7634.22,2.86,13.83
4,72.09,81.66,144.58,287.79,-0.35,26.83,6688.24,2.11,12.82
5,71.9,89.04,145.25,289.69,0.01,26.57,7946.15,2.35,17.46
6,69.59,86.63,139.1,277.99,1.06,29.77,7522.09,2.71,14.94
7,73.64,91.48,147.67,295.06,-2.54,28.5,8385.87,-0.2,13.63
8,72.84,85.19,144.13,288.37,0.58,27.99,7272.29,1.17,15.65
9,74.07,87.13,149.75,301.49,1.0,34.12,7609.01,4.42,12.28
10,69.9,95.5,140.64,282.32,-2.19,31.03,9138.17,3.42,15.44
11,70.23,91.72,140.87,283.14,-0.62,27.36,8431.53,0.52,12.24
12,71.61,96.44,143.81,286.32,-0.75,28.06,9314.59,2.17,15.22
13,67.98,87.48,135.55,273.07,-1.27,28.88,7670.86,4.51,16.46
14,68.61,93.12,137.41,276.1,-1.02,30.38,8687.08,6.35,13.65
15,73.4,82.56,146.52,296.03,3.21,27.95,6836.61,6.14,12.02
16,70.09,88.47,139.02,279.31,-0.86,27.64,7845.21,3.13,16.29
17,74.31,88.91,149.35,300.75,-2.58,26.92,7923.02,2.07,12.34
18,68.91,86.87,139.06,278.66,-0.21,30.58,7562.53,6.51,13.36
19,71.4,93.15,142.6,283.71,-0.25,28.46,8693.36,4.07,18.46
20,70.53,93.9,141.4,285.48,-0.02,28.73,8833.32,2.02,13.65
21,68.87,90.39,137.83,278.27,2.24,26.43,8187.42,0.55,10.92
22,70.66,87.04,141.85,281.89,-1.83,27.81,7597.27,4.68,20.5
23,70.5,91.16,141.43,283.84,0.6,32.39,8328.22,6.48,16.59
24,70.2,91.56,140.28,281.81,-2.42,28.24,8400.47,3.5,14.98
25,68.33,88.48,136.99,273.51,-3.06,26.71,7845.73,5.32,14.02
26,69.25,94.66,137.19,274.61,-0.54,28.95,8980.23,5.08,11.47
27,72.75,89.14,145.32,288.61,-0.56,30.63,7963.33,3.81,13.83
