,0,1,2,3,4,5,6,8,7
0,57.84,56.06,7.1,112.39,19.1,3142.25,223.51,128.38,24.91
1,56.96,56.9,7.05,113.99,20.18,3240.49,229.61,125.31,24.84
2,48.78,56.98,5.87,113.46,20.26,3248.74,228.75,105.29,22.2
3,53.42,56.82,7.4,114.82,17.09,3229.77,228.52,118.77,23.63
4,53.96,56.78,8.58,114.9,15.24,3229.25,230.75,116.17,20.27
5,47.61,55.3,6.15,107.22,16.34,3060.53,213.91,106.43,23.67
6,56.4,56.8,8.1,115.23,18.97,3229.5,231.21,119.22,18.64
7,44.54,57.07,6.62,115.95,19.01,3259.16,234.87,96.86,22.64
8,53.5,57.08,7.05,117.0,17.85,3258.74,229.56,116.32,20.93
9,66.61,55.41,8.2,110.52,18.33,3073.4,220.0,145.15,21.87
10,38.9,57.38,6.94,116.39,15.5,3291.84,233.42,90.49,21.38
11,55.27,58.56,5.98,117.96,20.71,3428.72,235.95,119.7,24.66
12,60.26,56.61,8.32,115.87,17.71,3206.04,232.23,135.11,24.93
13,54.78,57.03,6.7,113.02,16.87,3256.33,224.98,122.87,24.74
14,50.42,56.88,7.76,111.87,16.23,3234.74,223.15,110.23,21.39
15,53.27,57.85,7.83,116.46,19.97,3349.38,232.73,116.35,22.39
16,48.94,56.79,5.89,111.98,18.04,3224.07,224.92,108.71,25.14
17,50.91,56.34,6.48,112.66,13.98,3174.1,230.55,111.5,23.52
18,49.69,58.85,6.73,117.63,16.76,3464.03,234.9,111.38,25.39
19,57.13,57.39,7.86,114.28,18.5,3297.67,229.11,123.13,18.61
20,42.72,56.19,6.35,115.0,17.11,3159.1,231.03,98.4,17.94
21,52.67,57.23,5.48,111.93,18.3,3275.78,224.53,116.41,22.45
22,58.31,56.78,7.72,113.88,17.76,3229.22,225.6,124.34,21.31
23,46.96,58.56,6.76,118.33,17.33,3432.63,234.89,103.49,28.29
24,53.16,55.8,9.58,112.65,15.7,3115.52,226.32,114.57,22.54
25,56.14,56.37,8.48,114.94,18.56,3180.38,228.98,122.19,27.75
26,51.18,56.18,6.78,114.26,18.71,3158.22,231.17,111.67,19.12
27,37.64,59.55,5.38,119.99,17.75,3546.01,237.84,86.37,23.02
28,41.72,55.7,7.2,113.25,19.8,3106.91,227.37,94.59,21.29
29,55.58,55.84,6.4,113.02,17.19,3121.36,226.0,121.04,20.84
30,41.33,56.64,6.51,114.78,16.9,3212.92,229.29,91.57,20.37
31,53.82,56.69,8.0,113.14,14.86,3216.96,228.52,118.35,23.15
32,52.3,56.53,6.98,113.75,18.24,3198.63,224.69,113.86,23.82
33,47.81,56.79,6.84,114.59,17.65,3229.44,226.71,111.07,23.96
34,57.42,58.8,7.22,120.81,19.37,3461.57,240.79,125.3,21.93
35,44.51,56.84,5.4,114.65,17.87,3231.09,227.21,101.53,25.81
36,53.65,56.74,6.51,112.47,18.0,3220.2,221.12,118.08,20.6
37,42.73,57.6,5.84,113.95,20.67,3320.68,229.43,95.44,25.2
38,43.87,57.18,5.78,112.28,18.14,3268.99,225.37,102.39,25.87
39,46.52,57.15,6.6,113.92,18.85,3270.58,227.3,104.39,22.75
40,35.08,56.28,4.34,109.74,16.56,3168.73,218.55,84.13,24.17
41,52.34,58.51,6.71,118.77,20.07,3429.0,237.54,111.72,22.66
42,61.68,56.06,7.67,110.86,17.59,3141.92,218.73,135.84,17.85
43,48.25,56.54,7.33,111.78,16.27,3197.85,223.91,107.04,25.09
44,51.79,57.07,7.17,115.63,16.27,3260.36,230.33,113.35,22.1
45,40.96,57.56,7.41,115.01,19.01,3315.57,228.94,92.29,20.41
46,61.29,56.31,5.76,111.62,18.12,3173.97,221.76,134.92,18.38
47,50.46,55.94,7.83,112.54,17.07,3131.37,222.26,110.48,24.09
48,58.8,56.65,9.6,114.24,18.87,3213.73,227.32,130.88,24.31
49,57.36,56.78,8.26,113.04,14.69,3225.26,226.04,125.72,22.18
50,38.76,54.92,6.97,110.86,13.58,3015.7,224.23,87.28,23.84
51,41.0,57.05,7.31,112.4,18.92,3255.38,224.16,93.63,23.87
52,47.78,57.75,6.52,112.7,18.99,3337.09,226.51,106.86,26.19
